Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1980	Iowa	86	5	No. 5 Iowa 86	Virginia Commonwealth	72	12	No. 12 Virginia Commonwealth 72	FIRST ROUND	-7	14
1980	Arizona State	99	5	No. 5 Arizona State 99	Loyola Marymount	71	12	No. 12 Loyola Marymount 71	FIRST ROUND	-7	28
1980	Missouri	61	5	No. 5 Missouri 61	San Jose State	51	12	No. 12 San Jose State 51	FIRST ROUND	-7	10
1980	Texas A&M	78	6	No. 6 Texas A&M 78	North Carolina	61	3	No. 3 North Carolina 61	SECOND ROUND	3	17
1980	Clemson	71	6	No. 6 Clemson 71	Brigham Young	66	3	No. 3 Brigham Young 66	SECOND ROUND	3	5
1980	Purdue	87	6	No. 6 Purdue 87	St. John's	72	3	No. 3 St. John's 72	SECOND ROUND	3	15
1980	Texas A&M	55	6	No. 6 Texas A&M 55	Bradley	53	11	No. 11 Bradley 53	FIRST ROUND	-5	2
1980	Purdue	90	6	No. 6 Purdue 90	La Salle	82	11	No. 11 La Salle 82	FIRST ROUND	-5	8
1980	Iona	84	6	No. 6 Iona 84	Holy Cross	78	11	No. 11 Holy Cross 78	FIRST ROUND	-5	6
1980	Clemson	76	6	No. 6 Clemson 76	Utah State	73	11	No. 11 Utah State 73	FIRST ROUND	-5	3
1980	Tennessee	80	7	No. 7 Tennessee 80	Furman	69	10	No. 10 Furman 69	FIRST ROUND	-3	11
1980	Kansas State	71	7	No. 7 Kansas State 71	Arkansas	53	10	No. 10 Arkansas 53	FIRST ROUND	-3	18
1980	Virginia Tech	89	7	No. 7 Virginia Tech 89	Western Kentucky	85	10	No. 10 Western Kentucky 85	FIRST ROUND	-3	4
1980	UCLA	77	8	No. 8 UCLA 77	DePaul	71	1	No. 1 DePaul 71	SECOND ROUND	7	6
1980	UCLA	72	8	"UCLA 72	Ohio State	68	4	 Ohio State 68	REGIONAL SEMIFINALS	
1994	Florida	69	3	Florida 69"	Connecticut	60	2	 Connecticut 60	REGIONAL SEMIFINALS	6	12
1980	Villanova	77	8	No. 8 Villanova 77	Marquette	59	9	No. 9 Marquette 59	FIRST ROUND	-1	18
1980	UCLA	87	8	No. 8 UCLA 87	Old Dominion	74	9	No. 9 Old Dominion 74	FIRST ROUND	-1	13
1980	Florida State	94	8	No. 8 Florida State 94	Toledo	91	9	No. 9 Toledo 91	FIRST ROUND	-1	3
1980	Alcorn State	70	8	No. 8 Alcorn State 70	South Alabama	62	9	No. 9 South Alabama 62	FIRST ROUND	-1	8
1980	Lamar	81	10	No. 10 Lamar 81	Oregon State	77	2	No. 2 Oregon State 77	SECOND ROUND	8	4
1980	Lamar	87	10	No. 10 Lamar 87	Weber State	86	7	No. 7 Weber State 86	FIRST ROUND	3	1
1980	Penn	62	12	No. 12 Penn 62	Washington State	55	5	No. 5 Washington State 55	FIRST ROUND	7	7
1981	Louisiana State	72	1	"Louisiana State 72	Arkansas	56	5	 Arkansas 56	REGIONAL SEMIFINALS	
2001	Penn State	82	7	Penn State 82"	North Carolina	74	2	 North Carolina 74	SECOND ROUND	-1	-2
1981	Louisiana State	100	1	No. 1 Louisiana State 100	Lamar	78	8	No. 8 Lamar 78	SECOND ROUND	-7	22
1981	Virginia	54	1	No. 1 Virginia 54	Villanova	50	9	No. 9 Villanova 50	SECOND ROUND	-8	4
1981	North Carolina	61	2	"North Carolina 61	Utah	56	3	 Utah 56	REGIONAL SEMIFINALS	
2011	Connecticut	53	3	Connecticut 53"	Butler	41	8	 Butler 41	NATIONAL CHAMPIONSHIP	-6	20
1981	Notre Dame	54	2	No. 2 Notre Dame 54	James Madison	45	10	No. 10 James Madison 45	SECOND ROUND	-8	9
1981	North Carolina	74	2	No. 2 North Carolina 74	Pittsburgh	57	10	No. 10 Pittsburgh 57	SECOND ROUND	-8	17
1981	North Carolina	78	2	"North Carolina 78	Virginia	65	1	 Virginia 65	NATIONAL SEMIFINALS	
2001	Cincinnati	66	5	Cincinnati 66"	Kent State	43	13	 Kent State 43	SECOND ROUND	-11	35
1981	Indiana	99	3	No. 3 Indiana 99	Maryland	64	6	No. 6 Maryland 64	SECOND ROUND	-3	35
1981	Indiana	67	3	"Indiana 67	Louisiana State	49	1	 Louisiana State 49	NATIONAL SEMIFINALS	
1993	North Carolina	112	1	North Carolina 112"	Rhode Island	67	8	 Rhode Island 67	SECOND ROUND	-5	0
1981	Indiana	87	3	"Indiana 87	UAB	72	7	 UAB 72	REGIONAL SEMIFINALS	
1985	Oklahoma	75	1	Oklahoma 75"	Illinois State	69	9	 Illinois State 69	SECOND ROUND	-6	18
1981	Utah	94	3	No. 3 Utah 94	Northeastern	69	11	No. 11 Northeastern 69	SECOND ROUND	-8	25
1981	Illinois	67	4	No. 4 Illinois 67	Wyoming	65	5	No. 5 Wyoming 65	SECOND ROUND	-1	2
1981	Tennessee	58	4	No. 4 Tennessee 58	Virginia Commonwealth	56	5	No. 5 Virginia Commonwealth 56	SECOND ROUND	-1	2
1981	Boston College	67	5	No. 5 Boston College 67	Wake Forest	64	4	No. 4 Wake Forest 64	SECOND ROUND	1	3
1981	Arkansas	74	5	No. 5 Arkansas 74	Louisville	73	4	No. 4 Louisville 73	SECOND ROUND	1	1
1981	Arkansas	73	5	No. 5 Arkansas 73	Mercer	67	12	No. 12 Mercer 67	FIRST ROUND	-7	6
1981	Boston College	93	5	No. 5 Boston College 93	Ball State	90	12	No. 12 Ball State 90	FIRST ROUND	-7	3
1981	Wyoming	78	5	No. 5 Wyoming 78	Howard University (D.C.)	43	12	No. 12 Howard University (D.C.) 43	FIRST ROUND	-7	35
1981	Virginia Commonwealth	85	5	No. 5 Virginia Commonwealth 85	Long Island	69	12	No. 12 Long Island 69	FIRST ROUND	-7	16
1981	Brigham Young	78	6	No. 6 Brigham Young 78	UCLA	55	3	No. 3 UCLA 55	SECOND ROUND	3	23
1981	Wichita State	60	6	No. 6 Wichita State 60	Iowa	56	3	No. 3 Iowa 56	SECOND ROUND	3	4
1981	Maryland	81	6	No. 6 Maryland 81	Tennessee-Chattanooga	69	11	No. 11 Tennessee-Chattanooga 69	FIRST ROUND	-5	12
1981	Brigham Young	60	6	No. 6 Brigham Young 60	Princeton	51	11	No. 11 Princeton 51	FIRST ROUND	-5	9
1981	Wichita State	95	6	No. 6 Wichita State 95	Southern (La.)	70	11	No. 11 Southern (La.) 70	FIRST ROUND	-5	25
1981	UAB	69	7	No. 7 UAB 69	Kentucky	62	2	No. 2 Kentucky 62	SECOND ROUND	5	7
1981	Kansas	88	7	No. 7 Kansas 88	Arizona State	71	2	No. 2 Arizona State 71	SECOND ROUND	5	17
1981	Kansas	69	7	No. 7 Kansas 69	Mississippi	66	10	No. 10 Mississippi 66	FIRST ROUND	-3	3
1981	UAB	93	7	No. 7 UAB 93	Western Kentucky	68	10	No. 10 Western Kentucky 68	FIRST ROUND	-3	25
1981	Kansas State	50	8	No. 8 Kansas State 50	Oregon State	48	1	No. 1 Oregon State 48	SECOND ROUND	7	2
1981	Kansas State	57	8	"Kansas State 57	Illinois	52	4	 Illinois 52	REGIONAL SEMIFINALS	
1994	Tulsa	82	12	Tulsa 82"	Oklahoma State	80	4	 Oklahoma State 80	SECOND ROUND	4	-23
1981	Kansas State	64	8	No. 8 Kansas State 64	San Francisco	60	9	No. 9 San Francisco 60	FIRST ROUND	-1	4
1981	Lamar	71	8	No. 8 Lamar 71	Missouri	67	9	No. 9 Missouri 67	FIRST ROUND	-1	4
1981	St. Joseph's	49	9	No. 9 St. Joseph's 49	DePaul	48	1	No. 1 DePaul 48	SECOND ROUND	8	1
1981	St. Joseph's	59	9	No. 9 St. Joseph's 59	Creighton	57	8	No. 8 Creighton 57	FIRST ROUND	1	2
1981	Villanova	90	9	No. 9 Villanova 90	Houston	72	8	No. 8 Houston 72	FIRST ROUND	1	18
1981	Pittsburgh	70	10	No. 10 Pittsburgh 70	Idaho	69	7	No. 7 Idaho 69	FIRST ROUND	3	1
1981	James Madison	61	10	No. 10 James Madison 61	Georgetown	55	7	No. 7 Georgetown 55	FIRST ROUND	3	6
1981	Northeastern	55	11	No. 11 Northeastern 55	Fresno State	53	6	No. 6 Fresno State 53	FIRST ROUND	5	2
1982	Georgetown	50	1	"Georgetown 50	Louisville	46	3	 Louisville 46	NATIONAL SEMIFINALS	
1989	Michigan	80	3	Michigan 80"	Seton Hall	79	3	 Seton Hall 79	NATIONAL CHAMPIONSHIP	-2	-29
1982	North Carolina	74	1	"North Carolina 74	Alabama	69	4	 Alabama 69	REGIONAL SEMIFINALS	
1997	St. Joseph's	81	4	St. Joseph's 81"	Boston College	77	5	 Boston College 77	SECOND ROUND	-4	-3
1982	Georgetown	51	1	No. 1 Georgetown 51	Wyoming	43	8	No. 8 Wyoming 43	SECOND ROUND	-7	8
1982	Virginia	54	1	No. 1 Virginia 54	Tennessee	51	9	No. 9 Tennessee 51	SECOND ROUND	-8	3
1982	North Carolina	52	1	No. 1 North Carolina 52	James Madison	50	9	No. 9 James Madison 50	SECOND ROUND	-8	2
1982	Oregon State	70	2	No. 2 Oregon State 70	Pepperdine	51	7	No. 7 Pepperdine 51	SECOND ROUND	-5	19
1982	Memphis State	56	2	No. 2 Memphis State 56	Wake Forest	55	7	No. 7 Wake Forest 55	SECOND ROUND	-5	1
1982	Missouri	73	2	No. 2 Missouri 73	Marquette	69	7	No. 7 Marquette 69	SECOND ROUND	-5	4
1982	Minnesota	62	2	No. 2 Minnesota 62	Tennessee-Chattanooga	61	10	No. 10 Tennessee-Chattanooga 61	SECOND ROUND	-8	1
1982	Villanova	70	3	"Villanova 70	Memphis State	66	2	 Memphis State 66	REGIONAL SEMIFINALS	
1987	North Carolina	74	1	North Carolina 74"	Notre Dame	68	5	 Notre Dame 68	REGIONAL SEMIFINALS	-2	2
1982	Idaho	69	3	No. 3 Idaho 69	Iowa	67	6	No. 6 Iowa 67	SECOND ROUND	-3	2
1982	Villanova	76	3	No. 3 Villanova 76	Northeastern	72	11	No. 11 Northeastern 72	SECOND ROUND	-8	4
1982	Louisville	81	3	No. 3 Louisville 81	Middle Tennessee State	56	11	No. 11 Middle Tennessee State 56	SECOND ROUND	-8	25
1982	UAB	68	4	"UAB 68	Virginia	66	1	 Virginia 66	REGIONAL SEMIFINALS	
1987	Wyoming	78	12	Wyoming 78"	UCLA	68	4	 UCLA 68	SECOND ROUND	0	0
1982	UAB	80	4	No. 4 UAB 80	Indiana	70	5	No. 5 Indiana 70	SECOND ROUND	-1	10
1982	Alabama	69	4	No. 4 Alabama 69	St. John's	68	5	No. 5 St. John's 68	SECOND ROUND	-1	1
1982	Fresno State	50	4	No. 4 Fresno State 50	West Virginia	46	5	No. 5 West Virginia 46	SECOND ROUND	-1	4
1982	Kansas State	65	5	No. 5 Kansas State 65	Arkansas	64	4	No. 4 Arkansas 64	SECOND ROUND	1	1
1982	St. John's	66	5	No. 5 St. John's 66	Penn	56	12	No. 12 Penn 56	FIRST ROUND	-7	10
1982	Indiana	94	5	No. 5 Indiana 94	Robert Morris (Pa.)	62	12	No. 12 Robert Morris (Pa.) 62	FIRST ROUND	-7	32
1982	West Virginia	102	5	No. 5 West Virginia 102	North Carolina A&T	72	12	No. 12 North Carolina A&T 72	FIRST ROUND	-7	30
1982	Kansas State	77	5	No. 5 Kansas State 77	Northern Illinois	68	12	No. 12 Northern Illinois 68	FIRST ROUND	-7	9
1982	Houston	78	6	No. 6 Houston 78	Tulsa	74	3	No. 3 Tulsa 74	SECOND ROUND	3	4
1982	Houston	94	6	No. 6 Houston 94	Alcorn State	84	11	No. 11 Alcorn State 84	FIRST ROUND	-5	10
1982	Iowa	70	6	No. 6 Iowa 70	Northeast Louisiana	63	11	No. 11 Northeast Louisiana 63	FIRST ROUND	-5	7
