Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1988	Rhode Island	97	11	"Rhode Island 97	Syracuse	94	3	 Syracuse 94	SECOND ROUND	
1981	Brigham Young	51	6	Brigham Young 51"	Notre Dame	50	2	 Notre Dame 50	REGIONAL SEMIFINALS	9	47
1988	Rhode Island	87	11	No. 11 Rhode Island 87	Missouri	80	6	No. 6 Missouri 80	FIRST ROUND	5	7
1988	Richmond	72	13	No. 13 Richmond 72	Indiana	69	4	No. 4 Indiana 69	FIRST ROUND	9	3
1988	Richmond	59	13	"Richmond 59	Georgia Tech	55	5	 Georgia Tech 55	SECOND ROUND	
2003	Syracuse	68	3	Syracuse 68"	Oklahoma St.	56	6	 Oklahoma St. 56	SECOND ROUND	7	3
1988	Murray State	78	14	No. 14 Murray State 78	North Carolina State	75	3	No. 3 North Carolina State 75	FIRST ROUND	11	3
1989	Illinois	72	1	"Illinois 72	Ball State	60	9	 Ball State 60	SECOND ROUND	
2007	Tennessee	77	5	Tennessee 77"	Virginia	74	4	 Virginia 74	SECOND ROUND	-3	-2
1989	Arizona	94	1	"Arizona 94	Clemson	68	9	 Clemson 68	SECOND ROUND	
1997	Tennessee-Chattanooga	75	14	Tennessee-Chattanooga 75"	Illinois	63	6	 Illinois 63	SECOND ROUND	-5	31
1989	Oklahoma	124	1	"Oklahoma 124	Louisiana Tech	81	9	 Louisiana Tech 81	SECOND ROUND	
2000	Florida	71	5	Florida 71"	North Carolina	59	8	 North Carolina 59	NATIONAL SEMIFINALS	-7	65
1989	Oklahoma	72	1	No. 1 Oklahoma 72	East Tennessee State	71	16	No. 16 East Tennessee State 71	FIRST ROUND	-15	1
1989	Illinois	77	1	No. 1 Illinois 77	McNeese State	71	16	No. 16 McNeese State 71	FIRST ROUND	-15	6
1989	Georgetown	50	1	No. 1 Georgetown 50	Princeton	49	16	No. 16 Princeton 49	FIRST ROUND	-15	1
1989	Arizona	94	1	No. 1 Arizona 94	Robert Morris (Pa.)	60	16	No. 16 Robert Morris (Pa.) 60	FIRST ROUND	-15	34
1989	Duke	70	2	"Duke 70	West Virginia	63	7	 West Virginia 63	SECOND ROUND	
1981	Virginia	78	1	Virginia 78"	Louisiana State	74	1	 Louisiana State 74	NATIONAL THIRD PLACE	1	-4
1989	Duke	87	2	"Duke 87	Minnesota	70	11	 Minnesota 70	REGIONAL SEMIFINALS	
1989	North Carolina State	102	5	North Carolina State 102"	Iowa	96	4	 Iowa 96	SECOND ROUND	-2	-9
1989	Duke	85	2	"Duke 85	Georgetown	77	1	 Georgetown 77	REGIONAL FINALS	
1988	Kansas State	66	4	Kansas State 66"	DePaul	58	5	 DePaul 58	SECOND ROUND	-3	27
1989	North Carolina	93	2	No. 2 North Carolina 93	Southern (La.)	79	15	No. 15 Southern (La.) 79	FIRST ROUND	-13	14
1989	Duke	90	2	No. 2 Duke 90	South Carolina State	69	15	No. 15 South Carolina State 69	FIRST ROUND	-13	21
1989	Indiana	99	2	No. 2 Indiana 99	George Mason	85	15	No. 15 George Mason 85	FIRST ROUND	-13	14
1989	Syracuse	104	2	No. 2 Syracuse 104	Bucknell	81	15	No. 15 Bucknell 81	FIRST ROUND	-13	23
1989	Michigan	102	3	"Michigan 102	Virginia	65	5	 Virginia 65	REGIONAL FINALS	
1989	Seton Hall	95	3	Seton Hall 95"	Duke	78	2	 Duke 78	NATIONAL SEMIFINALS	1	24
1989	Seton Hall	78	3	"Seton Hall 78	Indiana	65	2	 Indiana 65	REGIONAL SEMIFINALS	
2003	Kansas	69	2	Kansas 69"	Duke	65	3	 Duke 65	REGIONAL SEMIFINALS	0	13
1989	Michigan	91	3	"Michigan 91	South Alabama	82	11	 South Alabama 82	SECOND ROUND	
2001	Kansas	87	4	Kansas 87"	Syracuse	58	5	 Syracuse 58	SECOND ROUND	-2	33
1989	Michigan	92	3	"Michigan 92	North Carolina	87	2	 North Carolina 87	REGIONAL SEMIFINALS	
1980	Clemson	74	6	Clemson 74"	Lamar	66	10	 Lamar 66	REGIONAL SEMIFINALS	-7	26
1989	Michigan	92	3	No. 3 Michigan 92	Xavier	87	14	No. 14 Xavier 87	FIRST ROUND	-11	5
1989	Missouri	85	3	No. 3 Missouri 85	Creighton	69	14	No. 14 Creighton 69	FIRST ROUND	-11	16
1989	Seton Hall	60	3	No. 3 Seton Hall 60	Southwest Missouri State	51	14	No. 14 Southwest Missouri State 51	FIRST ROUND	-11	9
1989	UNLV	85	4	"UNLV 85	DePaul	70	12	 DePaul 70	SECOND ROUND	
1991	St. John's	84	4	St. John's 84"	Texas	76	5	 Texas 76	SECOND ROUND	-1	9
1989	Iowa	87	4	No. 4 Iowa 87	Rutgers	73	13	No. 13 Rutgers 73	FIRST ROUND	-9	14
1989	Louisville	76	4	No. 4 Louisville 76	Arkansas-Little Rock	71	13	No. 13 Arkansas-Little Rock 71	FIRST ROUND	-9	5
1989	UNLV	68	4	No. 4 UNLV 68	Idaho	56	13	No. 13 Idaho 56	FIRST ROUND	-9	12
1989	Virginia	104	5	"Virginia 104	Middle Tennessee State	88	13	 Middle Tennessee State 88	SECOND ROUND	
1994	Kansas	69	4	Kansas 69"	Wake Forest	58	5	 Wake Forest 58	SECOND ROUND	0	46
1989	Virginia	86	5	"Virginia 86	Oklahoma	80	1	 Oklahoma 80	REGIONAL SEMIFINALS	
2002	Oregon	92	2	Oregon 92"	Wake Forest	87	7	 Wake Forest 87	SECOND ROUND	-2	-1
1989	Virginia	100	5	No. 5 Virginia 100	Providence	97	12	No. 12 Providence 97	FIRST ROUND	-7	3
1989	North Carolina State	81	5	No. 5 North Carolina State 81	South Carolina	66	12	No. 12 South Carolina 66	FIRST ROUND	-7	15
1989	Arkansas	120	5	No. 5 Arkansas 120	Loyola Marymount	101	12	No. 12 Loyola Marymount 101	FIRST ROUND	-7	19
1989	UCLA	84	7	No. 7 UCLA 84	Iowa State	74	10	No. 10 Iowa State 74	FIRST ROUND	-3	10
1989	Texas-El Paso	85	7	No. 7 Texas-El Paso 85	Louisiana State	74	10	No. 10 Louisiana State 74	FIRST ROUND	-3	11
1989	West Virginia	84	7	No. 7 West Virginia 84	Tennessee	68	10	No. 10 Tennessee 68	FIRST ROUND	-3	16
1989	Clemson	83	9	No. 9 Clemson 83	St. Mary's	70	8	No. 8 St. Mary's 70	FIRST ROUND	1	13
1989	Louisiana Tech	83	9	No. 9 Louisiana Tech 83	La Salle	74	8	No. 8 La Salle 74	FIRST ROUND	1	9
1989	Ball State	68	9	No. 9 Ball State 68	Pittsburgh	64	8	No. 8 Pittsburgh 64	FIRST ROUND	1	4
1989	Notre Dame	81	9	No. 9 Notre Dame 81	Vanderbilt	65	8	No. 8 Vanderbilt 65	FIRST ROUND	1	16
1989	Colorado State	68	10	No. 10 Colorado State 68	Florida	46	7	No. 7 Florida 46	FIRST ROUND	3	22
1989	Minnesota	80	11	"Minnesota 80	Siena	67	14	 Siena 67	SECOND ROUND	
1992	Ohio State	80	1	Ohio State 80"	North Carolina	73	4	 North Carolina 73	REGIONAL SEMIFINALS	7	7
1989	South Alabama	86	11	No. 11 South Alabama 86	Alabama	84	6	No. 6 Alabama 84	FIRST ROUND	5	2
1989	Texas	76	11	No. 11 Texas 76	Georgia Tech	70	6	No. 6 Georgia Tech 70	FIRST ROUND	5	6
1989	Minnesota	86	11	No. 11 Minnesota 86	Kansas State	75	6	No. 6 Kansas State 75	FIRST ROUND	5	11
1989	Evansville	94	11	No. 11 Evansville 94	Oregon State	90	6	No. 6 Oregon State 90	FIRST ROUND	5	4
1989	DePaul	66	12	No. 12 DePaul 66	Memphis State	63	5	No. 5 Memphis State 63	FIRST ROUND	7	3
1989	Middle Tennessee State	97	13	No. 13 Middle Tennessee State 97	Florida State	83	4	No. 4 Florida State 83	FIRST ROUND	9	14
1989	Siena	80	14	No. 14 Siena 80	Stanford	78	3	No. 3 Stanford 78	FIRST ROUND	11	2
1990	UNLV	69	1	"UNLV 69	Ball State	67	12	 Ball State 67	REGIONAL SEMIFINALS	
1999	Connecticut	64	1	Connecticut 64"	Ohio State	58	4	 Ohio State 58	NATIONAL SEMIFINALS	-3	11
1990	UNLV	76	1	"UNLV 76	Ohio State	65	8	 Ohio State 65	SECOND ROUND	
1991	Utah	85	4	Utah 85"	Michigan State	84	5	 Michigan State 84	SECOND ROUND	-4	-8
1990	UNLV	131	1	"UNLV 131	Loyola Marymount	101	11	 Loyola Marymount 101	REGIONAL FINALS	
1980	Purdue	75	6	Purdue 75"	Iowa	58	5	 Iowa 58	NATIONAL THIRD PLACE	-4	73
1990	UNLV	102	1	No. 1 UNLV 102	Arkansas-Little Rock	72	16	No. 16 Arkansas-Little Rock 72	FIRST ROUND	-15	30
1990	Oklahoma	77	1	No. 1 Oklahoma 77	Towson State	68	16	No. 16 Towson State 68	FIRST ROUND	-15	9
1990	Michigan State	75	1	No. 1 Michigan State 75	Murray State	71	16	No. 16 Murray State 71	FIRST ROUND	-15	4
1990	Connecticut	76	1	No. 1 Connecticut 76	Boston University	52	16	No. 16 Boston University 52	FIRST ROUND	-15	24
1990	Purdue	75	2	No. 2 Purdue 75	Northeast Louisiana	63	15	No. 15 Northeast Louisiana 63	FIRST ROUND	-13	12
1990	Arizona	79	2	No. 2 Arizona 79	South Florida	67	15	No. 15 South Florida 67	FIRST ROUND	-13	12
1990	Kansas	79	2	No. 2 Kansas 79	Robert Morris (Pa.)	71	15	No. 15 Robert Morris (Pa.) 71	FIRST ROUND	-13	8
1990	Syracuse	70	2	No. 2 Syracuse 70	Coppin State	48	15	No. 15 Coppin State 48	FIRST ROUND	-13	22
1990	Duke	90	3	"Duke 90	UCLA	81	7	 UCLA 81	REGIONAL SEMIFINALS	
1994	Duke	70	2	Duke 70"	Florida	65	3	 Florida 65	NATIONAL SEMIFINALS	0	25
1990	Duke	76	3	"Duke 76	St. John's	72	6	 St. John's 72	SECOND ROUND	
2001	Temple	84	11	Temple 84"	Penn State	72	7	 Penn State 72	REGIONAL SEMIFINALS	-4	4
1990	Michigan	76	3	No. 3 Michigan 76	Illinois State	70	14	No. 14 Illinois State 70	FIRST ROUND	-11	6
1990	Georgetown	70	3	No. 3 Georgetown 70	Texas Southern	52	14	No. 14 Texas Southern 52	FIRST ROUND	-11	18
1990	Duke	81	3	No. 3 Duke 81	Richmond	46	14	No. 14 Richmond 46	FIRST ROUND	-11	35
1990	Georgia Tech	93	4	"Georgia Tech 93	Minnesota	91	6	 Minnesota 91	REGIONAL FINALS	
2006	George Mason	65	11	George Mason 65"	North Carolina	60	3	 North Carolina 60	SECOND ROUND	1	33
1990	Georgia Tech	94	4	"Georgia Tech 94	Louisiana State	91	5	 Louisiana State 91	SECOND ROUND	
1997	Kentucky	83	1	Kentucky 83"	St. Joseph's	68	4	 St. Joseph's 68	REGIONAL SEMIFINALS	0	26
1990	Arkansas	86	4	"Arkansas 86	Dayton	84	12	 Dayton 84	SECOND ROUND	
1990	Ball State	62	12	Ball State 62"	Louisville	60	4	 Louisville 60	SECOND ROUND	0	26
1990	Georgia Tech	81	4	"Georgia Tech 81	Michigan State	80	1	 Michigan State 80	REGIONAL SEMIFINALS	
1995	Arkansas	96	2	Arkansas 96"	Syracuse	94	7	 Syracuse 94	SECOND ROUND	-3	-13
1990	Arkansas	88	4	"Arkansas 88	Texas	85	10	 Texas 85	REGIONAL FINALS	
2006	Memphis	72	1	Memphis 72"	Bucknell	56	9	 Bucknell 56	SECOND ROUND	-5	32
1990	Arkansas	68	4	No. 4 Arkansas 68	Princeton	64	13	No. 13 Princeton 64	FIRST ROUND	-9	4
1990	La Salle	79	4	No. 4 La Salle 79	Southern Mississippi	63	13	No. 13 Southern Mississippi 63	FIRST ROUND	-9	16
1990	Louisville	78	4	No. 4 Louisville 78	Idaho	59	13	No. 13 Idaho 59	FIRST ROUND	-9	19
1990	Georgia Tech	99	4	No. 4 Georgia Tech 99	East Tennessee State	83	13	No. 13 East Tennessee State 83	FIRST ROUND	-9	16
1990	Clemson	49	5	No. 5 Clemson 49	Brigham Young	47	12	No. 12 Brigham Young 47	FIRST ROUND	-7	2
1990	Louisiana State	70	5	No. 5 Louisiana State 70	Villanova	63	12	No. 12 Villanova 63	FIRST ROUND	-7	7
1990	Minnesota	81	6	"Minnesota 81	Northern Iowa	78	14	 Northern Iowa 78	SECOND ROUND	
1985	Villanova	66	8	Villanova 66"	Georgetown	64	1	 Georgetown 64	NATIONAL CHAMPIONSHIP	5	17
1990	Xavier	74	6	"Xavier 74	Georgetown	71	3	 Georgetown 71	SECOND ROUND	
1987	Louisiana State	63	10	Louisiana State 63"	DePaul	58	3	 DePaul 58	REGIONAL SEMIFINALS	3	16
1990	Xavier	87	6	No. 6 Xavier 87	Kansas State	79	11	No. 11 Kansas State 79	FIRST ROUND	-5	8
1990	Minnesota	64	6	No. 6 Minnesota 64	Texas-El Paso	61	11	No. 11 Texas-El Paso 61	FIRST ROUND	-5	3
1990	St. John's	81	6	No. 6 St. John's 81	Temple	65	11	No. 11 Temple 65	FIRST ROUND	-5	16
1990	Alabama	77	7	"Alabama 77	Arizona	55	2	 Arizona 55	SECOND ROUND	
1984	Georgetown	53	1	Georgetown 53"	Kentucky	40	1	 Kentucky 40	NATIONAL SEMIFINALS	6	37
1990	Virginia	75	7	No. 7 Virginia 75	Notre Dame	67	10	No. 10 Notre Dame 67	FIRST ROUND	-3	8
1990	UCLA	68	7	No. 7 UCLA 68	UAB	56	10	No. 10 UAB 56	FIRST ROUND	-3	12
1990	Alabama	71	7	No. 7 Alabama 71	Colorado State	54	10	No. 10 Colorado State 54	FIRST ROUND	-3	17
1990	North Carolina	83	8	No. 8 North Carolina 83	Southwest Missouri State	70	9	No. 9 Southwest Missouri State 70	FIRST ROUND	-1	13
1990	Ohio State	84	8	No. 8 Ohio State 84	Providence	83	9	No. 9 Providence 83	FIRST ROUND	-1	1
1990	UC Santa Barbara	70	9	No. 9 UC Santa Barbara 70	Houston	66	8	No. 8 Houston 66	FIRST ROUND	1	4
1990	California	65	9	No. 9 California 65	Indiana	63	8	No. 8 Indiana 63	FIRST ROUND	1	2
1990	Texas	100	10	No. 10 Texas 100	Georgia	88	7	No. 7 Georgia 88	FIRST ROUND	3	12
1990	Texas	73	10	"Texas 73	Purdue	72	2	 Purdue 72	SECOND ROUND	
2012	Syracuse	75	1	Syracuse 75"	Kansas State	59	8	 Kansas State 59	THIRD ROUND	2	14
1990	Texas	102	10	"Texas 102	Xavier	89	6	 Xavier 89	REGIONAL SEMIFINALS	
1981	Indiana	78	3	Indiana 78"	St. Joseph's	46	9	 St. Joseph's 46	REGIONAL FINALS	1	56
1990	Loyola Marymount	62	11	"Loyola Marymount 62	Alabama	60	7	 Alabama 60	REGIONAL SEMIFINALS	
2010	Saint Mary's	75	NA	Saint Mary's 75"	Villanova	68	2	 Villanova 68	SECOND ROUND	9	-6
1990	Loyola Marymount	111	11	No. 11 Loyola Marymount 111	New Mexico State	92	6	No. 6 New Mexico State 92	FIRST ROUND	5	19
1990	Loyola Marymount	149	11	"Loyola Marymount 149	Michigan	115	3	 Michigan 115	SECOND ROUND	
2002	Oklahoma	81	2	Oklahoma 81"	Missouri	75	12	 Missouri 75	REGIONAL FINALS	-1	74
1990	Dayton	88	12	No. 12 Dayton 88	Illinois	86	5	No. 5 Illinois 86	FIRST ROUND	7	2
1990	Ball State	54	12	No. 12 Ball State 54	Oregon State	53	5	No. 5 Oregon State 53	FIRST ROUND	7	1
1990	Northern Iowa	74	14	No. 14 Northern Iowa 74	Missouri	71	3	No. 3 Missouri 71	FIRST ROUND	11	3
1991	Arkansas	93	1	"Arkansas 93	Alabama	70	4	 Alabama 70	REGIONAL SEMIFINALS	
1996	Texas Tech	92	3	Texas Tech 92"	North Carolina	73	6	 North Carolina 73	SECOND ROUND	-5	20
1991	Arkansas	97	1	"Arkansas 97	Arizona State	90	8	 Arizona State 90	SECOND ROUND	
1995	Kansas	75	1	Kansas 75"	Western Kentucky	70	8	 Western Kentucky 70	SECOND ROUND	-7	27
1991	UNLV	62	1	"UNLV 62	Georgetown	54	8	 Georgetown 54	SECOND ROUND	
2001	Illinois	79	1	Illinois 79"	Charlotte	61	9	 Charlotte 61	SECOND ROUND	-8	1
1991	North Carolina	93	1	"North Carolina 93	Eastern Michigan	67	12	 Eastern Michigan 67	REGIONAL SEMIFINALS	
1991	North Carolina	84	1	North Carolina 84"	Villanova	69	9	 Villanova 69	SECOND ROUND	-8	24
1991	Ohio State	97	1	No. 1 Ohio State 97	Towson State	86	16	No. 16 Towson State 86	FIRST ROUND	-15	11
1991	UNLV	99	1	No. 1 UNLV 99	Montana	65	16	No. 16 Montana 65	FIRST ROUND	-15	34
1991	North Carolina	101	1	No. 1 North Carolina 101	Northeastern	66	16	No. 16 Northeastern 66	FIRST ROUND	-15	35
1991	Arkansas	117	1	No. 1 Arkansas 117	Georgia State	76	16	No. 16 Georgia State 76	FIRST ROUND	-15	41
1991	Arizona	76	2	"Arizona 76	Brigham Young	61	10	 Brigham Young 61	SECOND ROUND	
2001	Duke	95	1	Duke 95"	Maryland	84	3	 Maryland 84	NATIONAL SEMIFINALS	-1	-8
1991	Duke	85	2	"Duke 85	Iowa	70	7	 Iowa 70	SECOND ROUND	
1998	Duke	80	1	Duke 80"	Syracuse	67	5	 Syracuse 67	REGIONAL SEMIFINALS	-3	18
1991	Duke	72	2	"Duke 72	Kansas	65	3	 Kansas 65	NATIONAL CHAMPIONSHIP	
1992	Florida State	78	3	Florida State 78"	Georgetown	68	6	 Georgetown 68	SECOND ROUND	-4	4
1991	Duke	78	2	"Duke 78	St. John's	61	4	 St. John's 61	REGIONAL FINALS	
1999	Duke	97	1	Duke 97"	Tulsa	56	9	 Tulsa 56	SECOND ROUND	-7	22
1991	Duke	102	2	No. 2 Duke 102	Northeast Louisiana	73	15	No. 15 Northeast Louisiana 73	FIRST ROUND	-13	29
1991	Arizona	93	2	No. 2 Arizona 93	St. Francis (Pa.)	80	15	No. 15 St. Francis (Pa.) 80	FIRST ROUND	-13	13
1991	Indiana	79	2	No. 2 Indiana 79	Coastal Carolina (S.C.)	69	15	No. 15 Coastal Carolina (S.C.) 69	FIRST ROUND	-13	10
1991	Kansas	83	3	"Kansas 83	Indiana	65	2	 Indiana 65	REGIONAL SEMIFINALS	
1998	Maryland	67	4	Maryland 67"	Illinois	61	5	 Illinois 61	SECOND ROUND	-2	22
1991	Kansas	93	3	"Kansas 93	Arkansas	81	1	 Arkansas 81	REGIONAL FINALS	
1988	Kentucky	90	2	Kentucky 90"	Maryland	81	7	 Maryland 81	SECOND ROUND	-4	12
1991	Seton Hall	81	3	"Seton Hall 81	Arizona	77	2	 Arizona 77	REGIONAL SEMIFINALS	
2011	North Carolina	86	2	North Carolina 86"	Washington	83	7	 Washington 83	THIRD ROUND	-4	-2
1991	Oklahoma State	73	3	"Oklahoma State 73	North Carolina State	64	NA	 North Carolina State 64	SECOND ROUND	
1994	Connecticut	75	2	Connecticut 75"	George Washington	63	10	 George Washington 63	SECOND ROUND	-7	10
1991	Oklahoma State	67	3	No. 3 Oklahoma State 67	New Mexico	54	14	No. 14 New Mexico 54	FIRST ROUND	-11	13
1991	Seton Hall	71	3	No. 3 Seton Hall 71	Pepperdine	51	14	No. 14 Pepperdine 51	FIRST ROUND	-11	20
1991	Kansas	55	3	No. 3 Kansas 55	New Orleans	49	14	No. 14 New Orleans 49	FIRST ROUND	-11	6
1991	St. John's	91	4	"St. John's 91	Ohio State	74	1	 Ohio State 74	REGIONAL SEMIFINALS	
1998	North Carolina	75	1	North Carolina 75"	Connecticut	64	2	 Connecticut 64	REGIONAL FINALS	2	27
1991	St. John's	75	4	No. 4 St. John's 75	Northern Illinois	68	13	No. 13 Northern Illinois 68	FIRST ROUND	-9	7
1991	Utah	82	4	No. 4 Utah 82	South Alabama	72	13	No. 13 South Alabama 72	FIRST ROUND	-9	10
1991	Alabama	89	4	No. 4 Alabama 89	Murray State	79	13	No. 13 Murray State 79	FIRST ROUND	-9	10
1991	Michigan State	60	5	No. 5 Michigan State 60	Wisconsin-Green Bay	58	12	No. 12 Wisconsin-Green Bay 58	FIRST ROUND	-7	2
1991	Wake Forest	71	5	No. 5 Wake Forest 71	Louisiana Tech	65	12	No. 12 Louisiana Tech 65	FIRST ROUND	-7	6
1991	Texas	73	5	No. 5 Texas 73	St. Peter's	65	12	No. 12 St. Peter's 65	FIRST ROUND	-7	8
1991	N.C. State	114	6	No. 6 N.C. State 114	Southern Mississippi	85	11	No. 11 Southern Mississippi 85	FIRST ROUND	-5	29
1991	Pittsburgh	76	6	No. 6 Pittsburgh 76	Georgia	68	11	No. 11 Georgia 68	FIRST ROUND	-5	8
1991	Florida State	75	7	No. 7 Florida State 75	Southern Cal	72	10	No. 10 Southern Cal 72	FIRST ROUND	-3	3
1991	Iowa	76	7	No. 7 Iowa 76	East Tennessee State	73	10	No. 10 East Tennessee State 73	FIRST ROUND	-3	3
1991	Arizona State	79	8	No. 8 Arizona State 79	Rutgers	76	9	No. 9 Rutgers 76	FIRST ROUND	-1	3
1991	Georgetown	70	8	No. 8 Georgetown 70	Vanderbilt	60	9	No. 9 Vanderbilt 60	FIRST ROUND	-1	10
1991	Georgia Tech	87	8	No. 8 Georgia Tech 87	DePaul	70	9	No. 9 DePaul 70	FIRST ROUND	-1	17
1991	Villanova	50	9	No. 9 Villanova 50	Princeton	48	8	No. 8 Princeton 48	FIRST ROUND	1	2
1991	Temple	80	10	No. 10 Temple 80	Purdue	63	7	No. 7 Purdue 63	FIRST ROUND	3	17
1991	Brigham Young	61	10	No. 10 Brigham Young 61	Virginia	48	7	No. 7 Virginia 48	FIRST ROUND	3	13
1991	Temple	72	10	"Temple 72	Oklahoma State	63	3	 Oklahoma State 63	REGIONAL SEMIFINALS	
1984	Houston	49	2	Houston 49"	Virginia	47	7	 Virginia 47	NATIONAL SEMIFINALS	3	25
1991	Temple	77	10	"Temple 77	Richmond	64	15	 Richmond 64	SECOND ROUND	
2004	Oklahoma St.	70	2	Oklahoma St. 70"	Memphis	53	7	 Memphis 53	SECOND ROUND	3	24
1991	Connecticut	79	11	No. 11 Connecticut 79	Louisiana State	62	6	No. 6 Louisiana State 62	FIRST ROUND	5	17
1991	Creighton	64	11	No. 11 Creighton 64	New Mexico State	56	6	No. 6 New Mexico State 56	FIRST ROUND	5	8
1991	Eastern Michigan	71	12	"Eastern Michigan 71	Penn State	68	13	 Penn State 68	SECOND ROUND	
2002	Kent St.	78	10	Kent St. 78"	Pittsburgh	73	3	 Pittsburgh 73	REGIONAL SEMIFINALS	9	-2
1991	Eastern Michigan	76	12	No. 12 Eastern Michigan 76	Mississippi State	56	5	No. 5 Mississippi State 56	FIRST ROUND	7	20
1991	Penn State	74	13	No. 13 Penn State 74	UCLA	69	4	No. 4 UCLA 69	FIRST ROUND	9	5
1991	Xavier	89	14	No. 14 Xavier 89	Nebraska	84	3	No. 3 Nebraska 84	FIRST ROUND	11	5
1991	Richmond	73	15	No. 15 Richmond 73	Syracuse	69	2	No. 2 Syracuse 69	FIRST ROUND	13	4
1992	Duke	71	1	"Duke 71	Michigan	51	6	 Michigan 51	NATIONAL CHAMPIONSHIP	
2004	ast		NA	East 	Michigan	51	NA	 Michigan 51	REGIONAL FINALS	
1999	Miami (Ohio)	66	10	Miami (Ohio) 66"	Utah	58	2	 Utah 58	SECOND ROUND	-1	13
1992	UCLA	85	1	"UCLA 85	Louisville	69	8	 Louisville 69	SECOND ROUND	
2002	Indiana	73	5	Indiana 73"	Oklahoma	64	2	 Oklahoma 64	NATIONAL SEMIFINALS	-1	21
1992	Duke	81	1	"Duke 81	Seton Hall	69	4	 Seton Hall 69	REGIONAL SEMIFINALS	
2000	Purdue	66	6	Purdue 66"	Oklahoma	62	3	 Oklahoma 62	SECOND ROUND	-2	19
1992	Duke	104	1	"Duke 104	Kentucky	103	2	 Kentucky 103	REGIONAL FINALS	
1990	UNLV	103	1	UNLV 103"	Duke	73	3	 Duke 73	NATIONAL CHAMPIONSHIP	-2	31
1992	UCLA	85	1	"UCLA 85	New Mexico State	78	12	 New Mexico State 78	REGIONAL SEMIFINALS	
2002	Kansas	73	1	Kansas 73"	Illinois	69	4	 Illinois 69	REGIONAL SEMIFINALS	-3	16
1992	Duke	81	1	"Duke 81	Indiana	78	2	 Indiana 78	NATIONAL SEMIFINALS	
2005	Louisville	93	4	Louisville 93"	West Virginia	85	7	 West Virginia 85	REGIONAL FINALS	-6	-4
1992	Duke	75	1	"Duke 75	Iowa	62	9	 Iowa 62	SECOND ROUND	
2008	Kansas	72	1	Kansas 72"	Villanova	57	12	 Villanova 57	REGIONAL SEMIFINALS	-11	18
1992	UCLA	73	1	No. 1 UCLA 73	Robert Morris (Pa.)	53	16	No. 16 Robert Morris (Pa.) 53	FIRST ROUND	-15	20
1992	Duke	82	1	No. 1 Duke 82	Campbell (N.C.)	56	16	No. 16 Campbell (N.C.) 56	FIRST ROUND	-15	26
1992	Kansas	100	1	No. 1 Kansas 100	Howard University (D.C.)	67	16	No. 16 Howard University (D.C.) 67	FIRST ROUND	-15	33
1992	Ohio State	83	1	No. 1 Ohio State 83	Mississippi Valley State	56	16	No. 16 Mississippi Valley State 56	FIRST ROUND	-15	27
1992	Indiana	89	2	"Indiana 89	Louisiana State	79	7	 Louisiana State 79	SECOND ROUND	
2011	Butler	71	8	Butler 71"	Pittsburgh	70	1	 Pittsburgh 70	THIRD ROUND	1	19
1992	Kentucky	87	2	"Kentucky 87	Massachusetts	77	3	 Massachusetts 77	REGIONAL SEMIFINALS	
1990	Duke	97	3	Duke 97"	Arkansas	83	4	 Arkansas 83	NATIONAL SEMIFINALS	-2	4
1992	Indiana	85	2	"Indiana 85	Florida State	74	3	 Florida State 74	REGIONAL SEMIFINALS	
2004	Connecticut	72	2	Connecticut 72"	DePaul	55	7	 DePaul 55	SECOND ROUND	-5	30
1992	Oklahoma State	87	2	"Oklahoma State 87	Tulane	71	10	 Tulane 71	SECOND ROUND	
1995	Connecticut	96	2	Connecticut 96"	Cincinnati	91	7	 Cincinnati 91	SECOND ROUND	-5	-4
1992	Indiana	94	2	No. 2 Indiana 94	Eastern Illinois	55	15	No. 15 Eastern Illinois 55	FIRST ROUND	-13	39
1992	Southern Cal	84	2	No. 2 Southern Cal 84	Northeast Louisiana	54	15	No. 15 Northeast Louisiana 54	FIRST ROUND	-13	30
1992	Oklahoma State	100	2	No. 2 Oklahoma State 100	Georgia Southern	73	15	No. 15 Georgia Southern 73	FIRST ROUND	-13	27
1992	Kentucky	88	2	No. 2 Kentucky 88	Old Dominion	69	15	No. 15 Old Dominion 69	FIRST ROUND	-13	19
1992	Massachusetts	77	3	"Massachusetts 77	Syracuse	71	6	 Syracuse 71	SECOND ROUND	
2011	Butler	61	8	Butler 61"	Wisconsin	54	4	 Wisconsin 54	REGIONAL SEMIFINALS	-1	23
1992	Arkansas	80	3	No. 3 Arkansas 80	Murray State	69	14	No. 14 Murray State 69	FIRST ROUND	-11	11
1992	Florida State	78	3	No. 3 Florida State 78	Montana	68	14	No. 14 Montana 68	FIRST ROUND	-11	10
1992	Massachusetts	85	3	No. 3 Massachusetts 85	Fordham	58	14	No. 14 Fordham 58	FIRST ROUND	-11	27
1992	Cincinnati	88	4	"Cincinnati 88	Memphis State	57	6	 Memphis State 57	REGIONAL FINALS	
2010	West Virginia	73	2	West Virginia 73"	Kentucky	66	1	 Kentucky 66	REGIONAL FINALS	3	22
1992	North Carolina	64	4	"North Carolina 64	Alabama	55	5	 Alabama 55	SECOND ROUND	
1997	Iowa State	67	6	Iowa State 67"	Cincinnati	66	3	 Cincinnati 66	SECOND ROUND	1	-2
